feature,importance
lag_1,0.08752129
lag_14,0.047367144
rolling_mean_3,0.037480157
rolling_mean_7,0.03470921
lag_2,0.03400604
rolling_std_14,0.031915445
rolling_std_3,0.031854924
lag_7,0.03155244
close,0.030791529
return_1,0.030118564
trend_strength_3_14,0.030021021
trend_index,0.029931799
rolling_mean_14,0.029492853
diff_3,0.029003121
volatility_ratio_7,0.028964538
close_position,0.028474323
lag_5,0.02839621
close_to_rolling_mean_3,0.027682042
low,0.02750579
momentum_7,0.025370762
volatility_ratio_3,0.025257044
momentum_14,0.024603246
day_of_week,0.024465144
close_to_rolling_mean_7,0.022153152
volatility_ratio_14,0.021669403
rolling_std_7,0.021238232
trend_strength_7_14,0.021058176
daily_range,0.021028802
diff_1,0.020140463
trend_strength_3_7,0.019853406
close_to_rolling_mean_14,0.018084267
month,0.017082669
open,0.014541102
open_close_change,0.01446504
lag_3,0.013512582
return_3,0.009414058
high,0.009274016
momentum_3,0.0
